race_date,meet,race_no,bet_type,combination,odds,raw_text
2000-01-08,서울,1,단승식,⑥,1.4,⑥ 1.4
2000-01-08,서울,1,연승식,⑥,1.0,⑥ 1.0 ⑫ 18.9 ⑭ 1.3
2000-01-08,서울,1,연승식,⑫,18.9,⑥ 1.0 ⑫ 18.9 ⑭ 1.3
2000-01-08,서울,1,연승식,⑭,1.3,⑥ 1.0 ⑫ 18.9 ⑭ 1.3
2000-01-08,서울,1,복승식,⑥⑫,67.8,⑥⑫ 67.8
2000-01-08,서울,1,쌍승식,,,
2000-01-08,서울,1,복연승식,,,
2000-01-08,서울,1,삼복승식,,,
2000-01-08,서울,1,삼쌍승식,,,
2000-01-08,서울,2,단승식,⑤,4.6,⑤ 4.6
2000-01-08,서울,2,연승식,⑤,1.4,⑤ 1.4 ③ 1.1 ⑧ 1.5
2000-01-08,서울,2,연승식,③,1.1,⑤ 1.4 ③ 1.1 ⑧ 1.5
2000-01-08,서울,2,연승식,⑧,1.5,⑤ 1.4 ③ 1.1 ⑧ 1.5
2000-01-08,서울,2,복승식,③⑤,2.6,③⑤ 2.6
2000-01-08,서울,2,쌍승식,,,
2000-01-08,서울,2,복연승식,,,
2000-01-08,서울,2,삼복승식,,,
2000-01-08,서울,2,삼쌍승식,,,
2000-01-08,서울,3,단승식,⑩,1.4,⑩ 1.4
2000-01-08,서울,3,연승식,⑩,1.1,⑩ 1.1 ① 1.2 ③ 2.8
2000-01-08,서울,3,연승식,①,1.2,⑩ 1.1 ① 1.2 ③ 2.8
2000-01-08,서울,3,연승식,③,2.8,⑩ 1.1 ① 1.2 ③ 2.8
2000-01-08,서울,3,복승식,①⑩,1.5,①⑩ 1.5
2000-01-08,서울,3,쌍승식,,,
2000-01-08,서울,3,복연승식,,,
2000-01-08,서울,3,삼복승식,,,
2000-01-08,서울,3,삼쌍승식,,,
2000-01-08,서울,4,단승식,⑫,3.0,⑫ 3.0
2000-01-08,서울,4,연승식,⑫,1.4,⑫ 1.4 ⑥ 1.7 ⑩ 5.7
2000-01-08,서울,4,연승식,⑥,1.7,⑫ 1.4 ⑥ 1.7 ⑩ 5.7
2000-01-08,서울,4,연승식,⑩,5.7,⑫ 1.4 ⑥ 1.7 ⑩ 5.7
2000-01-08,서울,4,복승식,⑥⑫,7.9,⑥⑫ 7.9
2000-01-08,서울,4,쌍승식,,,
2000-01-08,서울,4,복연승식,,,
2000-01-08,서울,4,삼복승식,,,
2000-01-08,서울,4,삼쌍승식,,,
2000-01-08,서울,5,단승식,⑪,54.3,⑪ 54.3
