race_date,meet,race_no,weather,track_condition,race_day_no,race_time,grade,distance_m,burden_type,race_name,rating_condition,age_sex_condition,rank,horse_no,horse_name,origin,sex,age,weight,rating,jockey,trainer,owner,margin,body_weight,win_odds,place_odds,equipment
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,1,06,풍운,호,거,4세,56,,문정균,박흥진,김도윤,,441(-9),1.4,1.0,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,2,12,빠른세대,호,암,6세,53,,박을운,고옥봉,홍성률,목,407(-2),103.6,18.9,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,3,14,하이파피,호,거,4세,57,,우창구,이종구,이영웅,1¼,424(2),4.9,1.3,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,4,09,나이스보이,호,수,6세,56,,안병기,최혜식,김성규,목,424(3),31.4,4.4,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,5,05,쌔비지,뉴,암,7세,54,,정평수,권세창,신영균,1¼,447(-8),77.7,7.4,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,6,04,레이디시크,뉴,암,5세,52,,이주용,지용훈,박시용,¾,473(-4),14.5,2.8,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,7,10,흥해,뉴,암,5세,55,,김귀배,이왕언,이종휘,목,468(-5),94.3,12.2,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,8,03,째즈누아,뉴,암,4세,55,,김효섭,하재흥,김용원,½,426(-4),12.1,2.5,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,9,13,차차웅,호,거,5세,54,,윤태혁,박덕준,최원곤,1,422(2),618.0,64.2,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,10,07,대상,뉴,암,6세,51,,이영우,김일성,일진코스메틱,2,420(8),374.9,24.1,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,11,02,제일선,뉴,암,4세,52,,황순도,강석철,송숙자,1¼,385(7),189.0,30.4,
2000-01-08,서울,1,맑음,다습,제 1일,11:00,5군,1200M,마령,일반,400만원이하,연령오픈,12,01,스쿠너,뉴,거,4세,57,,이성일,박원선,송근철,머리,455(9),8.5,2.3,
