race_date,meet,race_no,bet_type,combination,odds,raw_text
2026-04-19,서울,1,단승식,②,11.5,② 11.5
2026-04-19,서울,1,연승식,②,2.7,② 2.7 ⑥ 1.1 ① 1.5
2026-04-19,서울,1,연승식,⑥,1.1,② 2.7 ⑥ 1.1 ① 1.5
2026-04-19,서울,1,연승식,①,1.5,② 2.7 ⑥ 1.1 ① 1.5
2026-04-19,서울,1,복승식,②⑥,8.1,②⑥ 8.1
2026-04-19,서울,1,쌍승식,②⑥,29.0,②⑥ 29.0
2026-04-19,서울,1,복연승식,②⑥,3.5,②⑥ 3.5 ②① 6.9 ⑥① 1.6
2026-04-19,서울,1,복연승식,②①,6.9,②⑥ 3.5 ②① 6.9 ⑥① 1.6
2026-04-19,서울,1,복연승식,⑥①,1.6,②⑥ 3.5 ②① 6.9 ⑥① 1.6
2026-04-19,서울,1,삼복승식,②⑥①,9.4,②⑥① 9.4
2026-04-19,서울,1,삼쌍승식,②⑥①,139.7,②⑥① 139.7
2026-04-19,서울,2,단승식,④,14.1,④ 14.1
2026-04-19,서울,2,연승식,④,2.7,④ 2.7 ③ 1.1 ⑤ 3.9
2026-04-19,서울,2,연승식,③,1.1,④ 2.7 ③ 1.1 ⑤ 3.9
2026-04-19,서울,2,연승식,⑤,3.9,④ 2.7 ③ 1.1 ⑤ 3.9
2026-04-19,서울,2,복승식,④③,11.2,④③ 11.2
2026-04-19,서울,2,쌍승식,④③,32.7,④③ 32.7
2026-04-19,서울,2,복연승식,④③,4.4,④③ 4.4 ④⑤ 16.0 ③⑤ 6.7
2026-04-19,서울,2,복연승식,④⑤,16.0,④③ 4.4 ④⑤ 16.0 ③⑤ 6.7
2026-04-19,서울,2,복연승식,③⑤,6.7,④③ 4.4 ④⑤ 16.0 ③⑤ 6.7
2026-04-19,서울,2,삼복승식,④③⑤,37.5,④③⑤ 37.5
2026-04-19,서울,2,삼쌍승식,④③⑤,318.6,④③⑤ 318.6
2026-04-19,서울,3,단승식,⑦,10.9,⑦ 10.9
2026-04-19,서울,3,연승식,⑦,2.8,⑦ 2.8 ③ 1.8 ⑤ 5.9
2026-04-19,서울,3,연승식,③,1.8,⑦ 2.8 ③ 1.8 ⑤ 5.9
2026-04-19,서울,3,연승식,⑤,5.9,⑦ 2.8 ③ 1.8 ⑤ 5.9
2026-04-19,서울,3,복승식,⑦③,41.8,⑦③ 41.8
2026-04-19,서울,3,쌍승식,⑦③,80.2,⑦③ 80.2
2026-04-19,서울,3,복연승식,⑦③,8.9,⑦③ 8.9 ⑦⑤ 23.6 ③⑤ 19.1
2026-04-19,서울,3,복연승식,⑦⑤,23.6,⑦③ 8.9 ⑦⑤ 23.6 ③⑤ 19.1
2026-04-19,서울,3,복연승식,③⑤,19.1,⑦③ 8.9 ⑦⑤ 23.6 ③⑤ 19.1
2026-04-19,서울,3,삼복승식,⑦③⑤,301.5,⑦③⑤ 301.5
2026-04-19,서울,3,삼쌍승식,⑦③⑤,1455.9,⑦③⑤ 1455.9
2026-04-19,서울,4,단승식,⑦,3.1,⑦ 3.1
2026-04-19,서울,4,연승식,⑦,1.4,⑦ 1.4 ⑨ 1.6 ② 2.1
2026-04-19,서울,4,연승식,⑨,1.6,⑦ 1.4 ⑨ 1.6 ② 2.1
2026-04-19,서울,4,연승식,②,2.1,⑦ 1.4 ⑨ 1.6 ② 2.1
2026-04-19,서울,4,복승식,⑦⑨,4.5,⑦⑨ 4.5
