race_date,meet,race_no,weather,track_condition,race_day_no,race_time,grade,distance_m,burden_type,race_name,rating_condition,age_sex_condition,rank,horse_no,horse_name,origin,sex,age,weight,rating,jockey,trainer,owner,margin,body_weight,win_odds,place_odds,equipment
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,1,2,라스트케이,한,수,3세,57,,장추열,우창구,강경운,,477(-5),11.5,2.7,
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,2,6,이끌림,한,거,3세,57,,이혁,정호익,손병철,1½,479(3),1.4,1.1,"계란형큰,망사눈"
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,3,1,카우보이퀸,한,암,3세,52,,(-3)권중석,조현수,정범성,8,470(-7),7.0,1.5,"계란형큰,망사눈"
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,4,5,레전드매치,한,수,3세,57,,진겸,최용구,간용기,5,458(-10),17.0,2.6,"망사눈,반가지큰,혀끈"
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,5,4,온누리빛,한,암,3세,51,,(-4)조성환,안병기,이경헌,½,429(-3),7.6,1.7,"계란형큰,망사눈"
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,6,3,고산봉,한,거,3세,57,,정우주,박천서,함평제일,2,474(4),59.4,5.7,망사눈
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,7,7,구름,한,암,3세,55,,조재로,이동국,(주)쎄쎄쎄,2½,477(10),63.3,8.3,망사눈
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,8,10,지구빛,한,암,3세,55,,김태현,서범석,이경헌,2½,448(1),123.0,20.1,"망사눈,반가지큰"
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,9,8,제이에스러브,한,암,3세,55,,조한별,정하백,임정균,목,464(4),49.2,6.2,망사눈
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,10,11,래피드총알,한,암,3세,55,,김태희,박재우,박정재,4,420(5),119.2,20.3,망사눈
2026-04-19,서울,1,맑음,건조,제 31일,10:35,국6등급,1200M,별정A,일반,R0~0,연령오픈 성별오픈,11,9,선더런,한,거,3세,57,,김효정,토니,죠셉달라오,16,464(-9),18.0,3.5,"계란형큰,망사,혀끈"
2026-04-19,서울,2,맑음,건조,제 31일,11:00,국6등급,1300M,별정A,일반,R0~0,연령오픈 성별오픈,1,4,글로리데이,한,암,4세,55,,정정희,홍윤화,청솔,,444(-4),14.1,2.7,"계란형큰,망사눈,혀끈+"
2026-04-19,서울,2,맑음,건조,제 31일,11:00,국6등급,1300M,별정A,일반,R0~0,연령오픈 성별오픈,2,3,빛나리즈,한,암,3세,55,,루이스,박재우,(주)디알엠씨티,7,461(-2),2.8,1.1,망사눈
2026-04-19,서울,2,맑음,건조,제 31일,11:00,국6등급,1300M,별정A,일반,R0~0,연령오픈 성별오픈,3,5,스파이스밴드,한,암,4세,55,,김효정,이신우,정영식,4,487(-1),25.2,3.9,"계란형큰,망사눈"
2026-04-19,서울,2,맑음,건조,제 31일,11:00,국6등급,1300M,별정A,일반,R0~0,연령오픈 성별오픈,4,10,비케이비바체,한,수,3세,57,,김옥성,조현수,함승원,2½,472(1),21.8,3.0,"계란형큰,망사눈"
2026-04-19,서울,2,맑음,건조,제 31일,11:00,국6등급,1300M,별정A,일반,R0~0,연령오픈 성별오픈,5,1,메가윈드,한,수,3세,57,,씨씨웡,이신우,하늬바람,4,496(6),1.9,1.0,"계란형큰,망사눈"
2026-04-19,서울,2,맑음,건조,제 31일,11:00,국6등급,1300M,별정A,일반,R0~0,연령오픈 성별오픈,6,7,신천하트,한,암,4세,55,,이혁,홍대유,문종원,1½,440(7),7.6,2.2,
2026-04-19,서울,2,맑음,건조,제 31일,11:00,국6등급,1300M,별정A,일반,R0~0,연령오픈 성별오픈,7,8,불패의여왕,한,암,3세,55,,조한별,박천서,김종진,1,488(3),40.4,9.2,"망사,반가지큰"
